,date,region,sales
0,2018-02-06,north,1638.0
1,2018-02-06,south,1647.0
2,2018-02-06,east,1731.0
3,2018-02-06,west,1557.0
4,2018-02-07,north,1587.0
5,2018-02-07,south,1698.0
6,2018-02-07,east,1542.0
7,2018-02-07,west,1635.0
8,2018-02-08,north,1602.0
9,2018-02-08,south,1536.0
10,2018-02-08,east,1503.0
11,2018-02-08,west,1701.0
12,2018-02-09,north,1758.0
13,2018-02-09,south,1662.0
14,2018-02-09,east,1782.0
15,2018-02-09,west,1515.0
16,2018-02-10,north,1662.0
17,2018-02-10,south,1557.0
18,2018-02-10,east,1650.0
19,2018-02-10,west,1674.0
20,2018-02-11,north,1554.0
21,2018-02-11,south,1587.0
22,2018-02-11,east,1563.0
23,2018-02-11,west,1764.0
24,2018-02-12,north,1758.0
25,2018-02-12,south,1608.0
26,2018-02-12,east,1569.0
27,2018-02-12,west,1653.0
28,2018-02-13,north,1572.0
29,2018-02-13,south,1716.0
30,2018-02-13,east,1773.0
31,2018-02-13,west,1725.0
32,2018-02-14,north,1767.0
33,2018-02-14,south,1710.0
34,2018-02-14,east,1698.0
35,2018-02-14,west,1512.0
36,2018-02-15,north,1746.0
37,2018-02-15,south,1734.0
38,2018-02-15,east,1524.0
39,2018-02-15,west,1614.0
40,2018-02-16,north,1578.0
41,2018-02-16,south,1782.0
42,2018-02-16,east,1527.0
43,2018-02-16,west,1752.0
44,2018-02-17,north,1785.0
45,2018-02-17,south,1689.0
46,2018-02-17,east,1641.0
47,2018-02-17,west,1575.0
48,2018-02-18,north,1644.0
49,2018-02-18,south,1674.0
50,2018-02-18,east,1551.0
51,2018-02-18,west,1737.0
52,2018-02-19,north,1563.0
53,2018-02-19,south,1647.0
54,2018-02-19,east,1605.0
55,2018-02-19,west,1539.0
56,2018-02-20,north,1698.0
57,2018-02-20,south,1575.0
58,2018-02-20,east,1500.0
59,2018-02-20,west,1551.0
60,2018-02-21,north,1737.0
61,2018-02-21,south,1542.0
62,2018-02-21,east,1665.0
63,2018-02-21,west,1548.0
64,2018-02-22,north,1635.0
65,2018-02-22,south,1632.0
66,2018-02-22,east,1668.0
67,2018-02-22,west,1764.0
68,2018-02-23,north,1533.0
69,2018-02-23,south,1563.0
70,2018-02-23,east,1641.0
71,2018-02-23,west,1773.0
72,2018-02-24,north,1629.0
73,2018-02-24,south,1698.0
74,2018-02-24,east,1725.0
75,2018-02-24,west,1722.0
76,2018-02-25,north,1596.0
77,2018-02-25,south,1710.0
78,2018-02-25,east,1635.0
79,2018-02-25,west,1659.0
80,2018-02-26,north,1686.0
81,2018-02-26,south,1533.0
82,2018-02-26,east,1524.0
83,2018-02-26,west,1530.0
84,2018-02-27,north,1665.0
85,2018-02-27,south,1695.0
86,2018-02-27,east,1578.0
87,2018-02-27,west,1620.0
88,2018-02-28,north,1767.0
89,2018-02-28,south,1593.0
90,2018-02-28,east,1743.0
91,2018-02-28,west,1557.0
92,2018-03-01,north,1668.0
93,2018-03-01,south,1782.0
94,2018-03-01,east,1527.0
95,2018-03-01,west,1668.0
96,2018-03-02,north,1635.0
97,2018-03-02,south,1569.0
98,2018-03-02,east,1746.0
99,2018-03-02,west,1773.0
100,2018-03-03,north,1539.0
101,2018-03-03,south,1500.0
102,2018-03-03,east,1569.0
103,2018-03-03,west,1557.0
104,2018-03-04,north,1773.0
105,2018-03-04,south,1644.0
106,2018-03-04,east,1614.0
107,2018-03-04,west,1674.0
108,2018-03-05,north,1533.0
109,2018-03-05,south,1653.0
110,2018-03-05,east,1557.0
111,2018-03-05,west,1746.0
112,2018-03-06,north,1719.0
113,2018-03-06,south,1719.0
114,2018-03-06,east,1659.0
115,2018-03-06,west,1800.0
116,2018-03-07,north,1581.0
117,2018-03-07,south,1602.0
118,2018-03-07,east,1608.0
119,2018-03-07,west,1650.0
120,2018-03-08,north,1611.0
121,2018-03-08,south,1530.0
122,2018-03-08,east,1698.0
123,2018-03-08,west,1668.0
124,2018-03-09,north,1746.0
125,2018-03-09,south,1524.0
126,2018-03-09,east,1506.0
127,2018-03-09,west,1704.0
128,2018-03-10,north,1788.0
129,2018-03-10,south,1719.0
130,2018-03-10,east,1746.0
131,2018-03-10,west,1584.0
132,2018-03-11,north,1692.0
133,2018-03-11,south,1635.0
134,2018-03-11,east,1608.0
135,2018-03-11,west,1590.0
136,2018-03-12,north,1599.0
137,2018-03-12,south,1518.0
138,2018-03-12,east,1602.0
139,2018-03-12,west,1659.0
140,2018-03-13,north,1644.0
141,2018-03-13,south,1611.0
142,2018-03-13,east,1554.0
143,2018-03-13,west,1515.0
144,2018-03-14,north,1515.0
145,2018-03-14,south,1632.0
146,2018-03-14,east,1512.0
147,2018-03-14,west,1776.0
148,2018-03-15,north,1677.0
149,2018-03-15,south,1503.0
150,2018-03-15,east,1605.0
151,2018-03-15,west,1647.0
152,2018-03-16,north,1506.0
153,2018-03-16,south,1737.0
154,2018-03-16,east,1590.0
155,2018-03-16,west,1767.0
156,2018-03-17,north,1593.0
157,2018-03-17,south,1614.0
158,2018-03-17,east,1710.0
159,2018-03-17,west,1662.0
160,2018-03-18,north,1650.0
161,2018-03-18,south,1755.0
162,2018-03-18,east,1698.0
163,2018-03-18,west,1659.0
164,2018-03-19,north,1683.0
165,2018-03-19,south,1509.0
166,2018-03-19,east,1500.0
167,2018-03-19,west,1545.0
168,2018-03-20,north,1647.0
169,2018-03-20,south,1614.0
170,2018-03-20,east,1629.0
171,2018-03-20,west,1677.0
172,2018-03-21,north,1743.0
173,2018-03-21,south,1569.0
174,2018-03-21,east,1593.0
175,2018-03-21,west,1578.0
176,2018-03-22,north,1578.0
177,2018-03-22,south,1581.0
178,2018-03-22,east,1653.0
179,2018-03-22,west,1578.0
180,2018-03-23,north,1761.0
181,2018-03-23,south,1611.0
182,2018-03-23,east,1749.0
183,2018-03-23,west,1764.0
184,2018-03-24,north,1716.0
185,2018-03-24,south,1710.0
186,2018-03-24,east,1800.0
187,2018-03-24,west,1728.0
188,2018-03-25,north,1743.0
189,2018-03-25,south,1764.0
190,2018-03-25,east,1740.0
191,2018-03-25,west,1707.0
192,2018-03-26,north,1509.0
193,2018-03-26,south,1641.0
194,2018-03-26,east,1533.0
195,2018-03-26,west,1752.0
196,2018-03-27,north,1767.0
197,2018-03-27,south,1590.0
198,2018-03-27,east,1533.0
199,2018-03-27,west,1704.0
200,2018-03-28,north,1671.0
201,2018-03-28,south,1527.0
202,2018-03-28,east,1524.0
203,2018-03-28,west,1629.0
204,2018-03-29,north,1722.0
205,2018-03-29,south,1557.0
206,2018-03-29,east,1686.0
207,2018-03-29,west,1779.0
208,2018-03-30,north,1734.0
209,2018-03-30,south,1776.0
210,2018-03-30,east,1554.0
211,2018-03-30,west,1725.0
212,2018-03-31,north,1617.0
213,2018-03-31,south,1635.0
214,2018-03-31,east,1605.0
215,2018-03-31,west,1785.0
216,2018-04-01,north,1761.0
217,2018-04-01,south,1530.0
218,2018-04-01,east,1710.0
219,2018-04-01,west,1506.0
220,2018-04-02,north,1509.0
221,2018-04-02,south,1797.0
222,2018-04-02,east,1662.0
223,2018-04-02,west,1530.0
224,2018-04-03,north,1767.0
225,2018-04-03,south,1767.0
226,2018-04-03,east,1614.0
227,2018-04-03,west,1533.0
228,2018-04-04,north,1767.0
229,2018-04-04,south,1761.0
230,2018-04-04,east,1566.0
231,2018-04-04,west,1623.0
232,2018-04-05,north,1506.0
233,2018-04-05,south,1512.0
234,2018-04-05,east,1692.0
235,2018-04-05,west,1749.0
236,2018-04-06,north,1701.0
237,2018-04-06,south,1752.0
238,2018-04-06,east,1632.0
239,2018-04-06,west,1515.0
240,2018-04-07,north,1725.0
241,2018-04-07,south,1611.0
242,2018-04-07,east,1788.0
243,2018-04-07,west,1617.0
244,2018-04-08,north,1656.0
245,2018-04-08,south,1674.0
246,2018-04-08,east,1557.0
247,2018-04-08,west,1701.0
248,2018-04-09,north,1686.0
249,2018-04-09,south,1782.0
250,2018-04-09,east,1641.0
251,2018-04-09,west,1557.0
252,2018-04-10,north,1686.0
253,2018-04-10,south,1527.0
254,2018-04-10,east,1698.0
255,2018-04-10,west,1728.0
256,2018-04-11,north,1671.0
257,2018-04-11,south,1527.0
258,2018-04-11,east,1581.0
259,2018-04-11,west,1764.0
260,2018-04-12,north,1653.0
261,2018-04-12,south,1626.0
262,2018-04-12,east,1782.0
263,2018-04-12,west,1749.0
264,2018-04-13,north,1539.0
265,2018-04-13,south,1752.0
266,2018-04-13,east,1674.0
267,2018-04-13,west,1749.0
268,2018-04-14,north,1569.0
269,2018-04-14,south,1794.0
270,2018-04-14,east,1674.0
271,2018-04-14,west,1638.0
272,2018-04-15,north,1515.0
273,2018-04-15,south,1527.0
274,2018-04-15,east,1602.0
275,2018-04-15,west,1653.0
276,2018-04-16,north,1602.0
277,2018-04-16,south,1707.0
278,2018-04-16,east,1548.0
279,2018-04-16,west,1527.0
280,2018-04-17,north,1599.0
281,2018-04-17,south,1728.0
282,2018-04-17,east,1704.0
283,2018-04-17,west,1539.0
284,2018-04-18,north,1545.0
285,2018-04-18,south,1797.0
286,2018-04-18,east,1515.0
287,2018-04-18,west,1719.0
288,2018-04-19,north,1713.0
289,2018-04-19,south,1674.0
290,2018-04-19,east,1767.0
291,2018-04-19,west,1767.0
292,2018-04-20,north,1668.0
293,2018-04-20,south,1620.0
294,2018-04-20,east,1677.0
295,2018-04-20,west,1509.0
296,2018-04-21,north,1683.0
297,2018-04-21,south,1743.0
298,2018-04-21,east,1644.0
299,2018-04-21,west,1578.0
300,2018-04-22,north,1572.0
301,2018-04-22,south,1545.0
302,2018-04-22,east,1557.0
303,2018-04-22,west,1626.0
304,2018-04-23,north,1710.0
305,2018-04-23,south,1659.0
306,2018-04-23,east,1665.0
307,2018-04-23,west,1521.0
308,2018-04-24,north,1503.0
309,2018-04-24,south,1650.0
310,2018-04-24,east,1689.0
311,2018-04-24,west,1743.0
312,2018-04-25,north,1623.0
313,2018-04-25,south,1503.0
314,2018-04-25,east,1758.0
315,2018-04-25,west,1557.0
316,2018-04-26,north,1713.0
317,2018-04-26,south,1734.0
318,2018-04-26,east,1740.0
319,2018-04-26,west,1563.0
320,2018-04-27,north,1716.0
321,2018-04-27,south,1791.0
322,2018-04-27,east,1674.0
323,2018-04-27,west,1716.0
324,2018-04-28,north,1632.0
325,2018-04-28,south,1641.0
326,2018-04-28,east,1584.0
327,2018-04-28,west,1590.0
328,2018-04-29,north,1713.0
329,2018-04-29,south,1593.0
330,2018-04-29,east,1740.0
331,2018-04-29,west,1638.0
332,2018-04-30,north,1653.0
333,2018-04-30,south,1590.0
334,2018-04-30,east,1593.0
335,2018-04-30,west,1602.0
336,2018-05-01,north,1785.0
337,2018-05-01,south,1764.0
338,2018-05-01,east,1506.0
339,2018-05-01,west,1536.0
340,2018-05-02,north,1623.0
